cycle,week_end_date,trading_days,actual_log_volume,forecast_log_volume,lower_ci,upper_ci,actual_volume,forecast_volume,actual_new_accounts,forecast_new_accounts,ipo_announcement_week,error_log_vol,error_vol_pct,in_ci
1,2025-10-17,5,31.638003002649402,31.52957506645663,31.153771431615574,31.905378701297685,274903409876281.94,246655311734607.2,146634.0,146043,1,0.10842793619277202,10.27564487264366,1
1,2025-10-24,5,31.429241637103914,31.522602048744975,31.112804478219154,31.932399619270797,223108552071254.12,244941362521089.75,133766.0,145519,0,-0.09336041164106135,-9.78573445399031,1
1,2025-10-31,5,31.444602381834518,31.513437627634232,31.07907634712025,31.947798908148215,226562122386574.03,242706871275801.72,116330.0,144834,0,-0.06883524579971478,-7.125970007325646,1
1,2025-11-07,5,31.192725950625604,31.488676203960647,31.03162352374913,31.945728884172166,176115978564735.8,236770898466026.3,141835.0,142998,0,-0.2959502533350431,-34.44032755891895,1
1,2025-11-14,5,31.478300837112794,31.489122942025997,31.01050156199432,31.967744322057673,234327013560048.1,236876696669420.9,159872.0,143031,1,-0.01082210491320268,-1.0880875707142645,1
1,2025-11-21,5,31.3872415863777,31.650741926233554,31.151487000890242,32.149996851576866,213932037516445.94,278427784113554.2,121798.0,155447,1,-0.2635003398558524,-30.147773725639464,1
1,2025-11-28,5,31.736769964005024,31.601927226424063,31.0828586857791,32.120995767069026,303440868789390.5,265162812184253.94,152189.0,151587,0,0.13484273758096066,12.614667482943522,1
1,2025-12-05,5,31.385927513094547,31.400863943073,30.86271081985187,31.939017066294127,213651099768355.97,216866236014874.4,151250.0,136675,0,-0.01493642997845157,-1.5048535907394538,1
1,2025-12-12,5,31.736579740465057,31.55003296508986,30.993449265226364,32.10661666495336,303383152682813.9,251753330673711.4,178238.0,147589,0,0.1865467753751986,17.018025408642675,1
2,2025-12-19,5,31.86041918681199,31.635522600299883,31.263449253731817,32.007595946867944,343379408586310.1,274222383771071.53,215515.0,157215,0,0.22489658651210576,20.140119962334794,1
2,2025-12-26,3,31.504229320791648,31.751752471895852,31.350707894604454,32.15279704918725,144289326199312.12,184812841353201.22,196680.0,167127,0,-0.24752315110420398,-28.084901510949244,1
2,2026-01-02,3,31.411026839751095,31.621329725766955,31.194401494571572,32.04825795696234,131448877594617.97,162214721425072.94,201752.0,156045,0,-0.21030288601586022,-23.40517803836664,1
2,2026-01-09,5,31.776651190205367,31.62198756411157,31.170673230393746,32.073301897829396,315787016114984.25,270535779326500.06,331332.0,156099,0,0.15466362609379658,14.329669834179414,1
2,2026-01-16,4,31.814594572227172,31.59274254354105,31.11829409034861,32.06719099673349,262399412316125.6,210190820827289.0,219665.0,153716,0,0.22185202868612208,19.896611439791762,1
2,2026-01-23,5,31.85074283083196,31.534300195161617,31.03779436577899,32.03080602454424,340072771093866.4,247823547687355.03,190549.0,149063,0,0.3164426356703416,27.126318614038304,1
2,2026-01-30,5,32.107583106280856,32.2143609482714,31.69673681586133,32.73198508068147,439659209428032.6,489203102009391.0,220817.0,213172,0,-0.1067778419905423,-11.268703468263904,1
2,2026-02-06,5,31.535294488427756,31.993693309413278,31.45577933275154,32.531607286075015,248070079514168.38,392332661395069.44,192956.0,189810,0,-0.4583988209855221,-58.15396284930105,1
2,2026-02-13,5,31.471149044049472,31.51200300516982,30.95453717650715,32.06946883383249,232657133685171.84,242358928189162.8,135479.0,147324,0,-0.040853961120348004,-4.169996574065634,1
3,2026-02-20,3,31.501691001463257,31.700003456645643,31.3352816297506,32.06472528354068,143923538253446.1,175492205600203.94,106564.0,221848,0,-0.1983124551823856,-21.934332444750027,1
3,2026-02-27,5,31.725534960930663,31.619508940309675,31.224999957536944,32.014017923082406,300050789132745.7,269866053246973.88,100956.0,213313,0,0.10602602062098754,10.05987552074651,1
3,2026-03-06,5,31.544355143197997,31.622817825314083,31.210243860891378,32.03539178973679,250327970401529.8,270760487958487.62,109551.0,213658,0,-0.07846268211608631,-8.162299052792124,1
3,2026-03-13,5,31.171387320728268,31.528321192682448,31.099446144684123,31.957196240680773,172397717267441.7,246346230922617.3,94873.0,204041,0,-0.3569338719541797,-42.89413736288562,1
3,2026-03-20,2,31.33291164619211,31.93623906691187,31.491771166271253,32.380706967552484,81047687080122.05,148170721341119.1,77895.0,248918,1,-0.6033274207197614,-82.81918544404682,0
3,2026-03-27,3,31.47469904056782,31.64660770245112,31.18708808998274,32.1061273149195,140090720078369.88,166367446492817.44,110366.0,216149,0,-0.17190866188330034,-18.756935791141466,1
3,2026-04-03,4,31.018541508884567,31.49875162604801,31.024659307151882,31.972843944944135,118369933962591.84,191334818772249.9,107616.0,201121,0,-0.4802101171634412,-61.641400283890476,0
3,2026-04-10,5,31.177544616693325,31.54085695627949,31.05262685796722,32.02908705459176,173462495750472.06,249453806256375.03,123009.0,205291,0,-0.36331233958616593,-43.80849599628579,1
3,2026-04-17,3,31.443778020410964,31.532817813269617,31.030847979891515,32.03478764664772,135825258164580.19,148473870422421.44,0.0,204488,0,-0.08903979285865304,-9.312415399582646,1
