scenario,week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
BASE,2026-04-24,31.36514938383118,-44027326479.57523,44027326542.305534,209257.63168904246,98087,98087,0
BASE,2026-05-01,31.393506330900145,-49607861626.09596,49607861688.88298,215276.4739549681,99554,99554,0
BASE,2026-05-08,31.33452581247256,-52904251585.01095,52904251647.68,202946.54291688057,96526,96526,0
BASE,2026-05-15,31.489785966952436,-55703440235.90064,55703440298.88021,237033.8039010552,104702,104702,0
BASE,2026-05-22,31.538064348237505,-58309056850.45885,58309056913.53497,248758.15134876216,107383,107383,0
BASE,2026-05-29,31.281381964714544,-60791130345.003624,60791130407.56638,192442.76045398752,93877,93877,0
BASE,2026-06-05,31.351272509984486,-63173326683.27839,63173326745.980934,206373.8451802725,97376,97376,0
BASE,2026-06-12,31.306359698914616,-65468403240.445465,65468403303.05818,197310.07881328504,95113,95113,0
BEAR,2026-04-24,31.36514938383118,-44027326479.57523,44027326542.305534,209257.63168904246,98087,98087,0
BEAR,2026-05-01,31.393506330900145,-49607861626.09596,49607861688.88298,215276.4739549681,99554,99554,0
BEAR,2026-05-08,31.33452581247256,-52904251585.01095,52904251647.68,202946.54291688057,96526,96526,0
BEAR,2026-05-15,31.789470710586976,-55703440235.60095,55703440299.1799,319861.3136772505,122493,122493,0
BEAR,2026-05-22,31.479249479940368,-58309056850.51766,58309056913.47616,234549.4116722771,104126,104126,0
BEAR,2026-05-29,31.132367408893657,-60791130345.15263,60791130407.41737,165800.32541565018,86830,86830,0
BEAR,2026-06-05,31.18992498915561,-63173326683.439735,63173326745.81959,175623.3746988055,89487,89487,0
BEAR,2026-06-12,31.291482563143667,-65468403240.46034,65468403303.043304,194396.397339271,94375,94375,0
BULL,2026-04-24,31.36514938383118,-44027326479.57523,44027326542.305534,209257.63168904246,98087,98087,0
BULL,2026-05-01,31.393506330900145,-49607861626.09596,49607861688.88298,215276.4739549681,99554,99554,0
BULL,2026-05-08,31.384947336034248,-52904251584.960526,52904251647.73042,213441.78646026496,99109,99109,0
BULL,2026-05-15,31.802549783979853,-55703440235.587875,55703440299.19298,324072.2810219287,123334,123334,0
BULL,2026-05-22,32.00339176898758,-58309056849.993515,58309056914.000305,396156.19507457805,137013,137013,0
BULL,2026-05-29,31.364001189945803,-60791130344.921005,60791130407.649,209017.5012404062,98028,98028,0
BULL,2026-06-05,31.415353670244517,-63173326683.21431,63173326746.04501,220031.44473448923,100699,100699,0
BULL,2026-06-12,31.331336670004298,-65468403240.42049,65468403303.08316,202300.34842890318,96365,96365,0
