scenario,week_end_date,contrib_weekly_return,contrib_realized_volatility,contrib_macro_shock_abs,contrib_macro_neg_lag1,contrib_macro_neg_lag2,contrib_macro_neg_lag3,contrib_macro_pos_lag1,contrib_macro_pos_lag2,contrib_macro_pos_lag3,contrib_interest_rate_direction,contrib_d_geo,contrib_d_mp,contrib_d_trade,contrib_log_trading_days,contrib_intercept,contrib_arma,exog_total,forecast_log_volume
BASE,2026-04-24,0.012561,0.023881,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.172041,0.255476,31.427517
BASE,2026-05-01,0.012561,0.023881,0.047871,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.112005,0.303347,31.415352
BASE,2026-05-08,0.012561,0.023881,0.0,0.000961,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.050808,0.256437,31.307246
BASE,2026-05-15,0.012561,0.023881,0.191484,0.0,-0.021625,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.915709,0.425335,31.341044
BASE,2026-05-22,0.012561,0.023881,0.0,0.0,-0.0,0.00562,0.264778,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.079057,0.525874,31.604931
BASE,2026-05-29,0.012561,0.023881,0.0,0.0,-0.0,0.0,0.0,-0.104408,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.965652,0.151068,31.11672
BASE,2026-06-05,0.012561,0.023881,0.0,0.0,-0.0,0.0,0.0,-0.0,0.213598,-0.0,0.0,0.0,0.0,0.219034,0.0,30.95928,0.469074,31.428354
BASE,2026-06-12,0.012561,0.023881,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.030599,0.255476,31.286075
BEAR,2026-04-24,0.012561,0.023881,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.172041,0.255476,31.427517
BEAR,2026-05-01,0.012561,0.023881,0.047871,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.112005,0.303347,31.415352
BEAR,2026-05-08,0.012561,0.023881,0.0,0.000961,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.050808,0.256437,31.307246
BEAR,2026-05-15,0.012561,0.023881,0.47871,0.0,-0.021625,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.915709,0.712561,31.62827
BEAR,2026-05-22,0.012561,0.023881,0.095742,0.009614,-0.0,0.00562,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.079057,0.366453,31.44551
BEAR,2026-05-29,0.012561,0.023881,0.0,0.001923,-0.216251,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.965652,0.041148,31.0068
BEAR,2026-06-05,0.012561,0.023881,0.0,0.0,-0.04325,0.056203,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.95928,0.268429,31.227709
BEAR,2026-06-12,0.012561,0.023881,0.0,0.0,-0.0,0.011241,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.030599,0.266717,31.297315
BULL,2026-04-24,0.012561,0.023881,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.172041,0.255476,31.427517
BULL,2026-05-01,0.012561,0.023881,0.047871,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.112005,0.303347,31.415352
BULL,2026-05-08,0.012561,0.023881,0.0,0.0,-0.0,-0.0,0.066194,-0.0,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,31.050808,0.32167,31.372479
BULL,2026-05-15,0.012561,0.023881,0.47871,0.0,-0.0,0.0,0.0,-0.026102,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.915709,0.708084,31.623793
BULL,2026-05-22,0.012561,0.023881,0.095742,0.0,-0.0,0.0,0.661944,-0.0,0.053399,-0.0,0.0,0.0,0.0,0.219034,0.0,31.079057,1.066562,32.145619
BULL,2026-05-29,0.012561,0.023881,0.0,0.0,-0.0,0.0,0.132389,-0.26102,0.0,-0.0,0.0,0.0,0.0,0.219034,0.0,30.965652,0.126845,31.092497
BULL,2026-06-05,0.012561,0.023881,0.0,0.0,-0.0,0.0,0.0,-0.052204,0.533994,-0.0,0.0,0.0,0.0,0.219034,0.0,30.95928,0.737266,31.696546
BULL,2026-06-12,0.012561,0.023881,0.0,0.0,-0.0,0.0,0.0,-0.0,0.106799,-0.0,0.0,0.0,0.0,0.219034,0.0,31.030599,0.362275,31.392873
