week_end_date,ipo_ticker,company_name,market_cap_idr_trillion,baseline_accounts,ipo_accounts,actual_accounts,ipo_uplift_pct,ipo_large_flag
2024-01-05,,,,31802,27862,39887,-12.387922957169453,0
2024-01-12,,,,29851,23773,38211,-20.360490637470004,0
2024-01-19,,,,27418,19873,38831,-27.516748550906474,0
2024-03-01,,,,32932,28853,45644,-12.387922957169458,0
2024-03-15,,,,38758,30905,32775,-20.2605809465135,0
2024-03-29,,,,34968,27883,34184,-20.2605809465135,0
2024-05-10,,,,38121,33399,29820,-12.38792295716945,0
2024-05-31,,,,51827,45407,24864,-12.38792295716945,0
2024-06-07,,,,36385,28976,24231,-20.360490637469994,0
2024-06-14,,,,34953,25335,23669,-27.516748550906467,0
2024-07-12,,,,41456,36321,23811,-12.387922957169447,0
2024-09-06,,,,53513,46884,25747,-12.387922957169453,0
2024-09-13,,,,67103,53440,24735,-20.36049063746999,0
2024-10-04,,,,53414,46797,27604,-12.38792295716945,0
2024-10-11,,,,49482,39407,23224,-20.360490637469997,0
2024-10-18,,,,49865,36144,23342,-27.516748550906467,0
2024-11-08,,,,31098,32154,28362,3.3949856017961384,1
2024-11-15,,,,30085,28275,29488,-6.013803098773489,1
2024-11-22,,,,29079,24874,28307,-14.45922762124866,1
2024-12-06,,,,34423,32393,33855,-5.895895141256681,1
2024-12-13,,,,52314,49168,29313,-6.013803098773497,1
2025-02-14,,,,31719,27790,26774,-12.387922957169454,0
2025-02-21,,,,34929,27817,26090,-20.360490637469997,0
2025-02-28,,,,31282,26759,28463,-14.45922762124866,1
2025-03-07,,,,41808,35763,29354,-14.459227621248655,1
2025-03-14,,,,32602,27888,26833,-14.459227621248658,1
2025-04-18,,,,47810,41887,72813,-12.38792295716944,0
2025-06-13,,,,66831,69100,50593,3.394985601796125,1
2025-06-20,,,,55678,52330,68749,-6.013803098773492,1
2025-08-29,,,,104439,107985,88306,3.394985601796145,1
2025-10-17,,,,173324,151853,146634,-12.38792295716946,0
2025-11-14,,,,144407,126518,159872,-12.387922957169447,0
2025-11-21,,,,112198,105450,121798,-6.01380309877349,1
2026-03-20,,,,89129,78087,77895,-12.387922957169451,0
