scenario,week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
BASE,2026-05-08,31.29282074791969,-3232040955.901136,3232041018.486778,194656.7097729263,80363,80363,0
BASE,2026-05-15,31.25176883123349,-3639650332.1138325,3639650394.6173706,112096.48839862528,78670,78670,0
BASE,2026-05-22,31.422333660460634,-3882973525.734955,3882973588.5796223,221572.63455364393,85946,85946,0
BASE,2026-05-29,31.4653572813648,-4090687060.062206,4090687122.9929204,138788.1200656265,87886,87886,0
BASE,2026-06-05,31.209492097180224,-4284296333.6285295,4284296396.047514,143274.92577407943,76964,76964,0
BASE,2026-06-12,31.278879550548826,-4468731610.006871,4468731672.56463,191961.79100750454,79784,79784,0
BASE,2026-06-19,31.244950429205918,-4645693576.897269,4645693639.38717,148446.3590393339,78392,78392,0
BASE,2026-06-26,31.25222987682806,-4816126552.779558,4816126615.284018,186913.63651064088,78689,78689,0
BEAR,2026-05-08,31.29282074791969,-3232040955.901136,3232041018.486778,194656.7097729263,80363,80363,0
BEAR,2026-05-15,31.25176883123349,-3639650332.1138325,3639650394.6173706,112096.48839862528,78670,78670,0
BEAR,2026-05-22,31.422333660460634,-3882973525.734955,3882973588.5796223,221572.63455364393,85946,85946,0
BEAR,2026-05-29,31.366616206203457,-4090687060.160947,4090687122.8941793,125738.8804145285,83498,83498,0
BEAR,2026-06-05,31.1770348684865,-4284296333.660987,4284296396.0150566,138699.276869609,75679,75679,0
BEAR,2026-06-12,31.17228139288928,-4468731610.113469,4468731672.458032,172551.92219196513,75492,75492,0
BEAR,2026-06-19,31.233390492894195,-4645693576.908829,4645693639.37561,146740.20907525532,77923,77923,0
BEAR,2026-06-26,31.25222987682806,-4816126552.779558,4816126615.284018,186913.63651064088,78689,78689,0
BULL,2026-05-08,31.29282074791969,-3232040955.901136,3232041018.486778,194656.7097729263,80363,80363,0
BULL,2026-05-15,31.301574184861746,-3639650332.0640273,3639650394.667176,117820.86262320286,80728,80728,0
BULL,2026-05-22,31.43441656370644,-3882973525.722872,3882973588.5917053,224266.11502098924,86486,86486,0
BULL,2026-05-29,31.58371349110663,-4090687059.9438496,4090687123.1112766,156226.15419941358,93449,93449,0
BULL,2026-06-05,31.32497718872623,-4284296333.5130444,4284296396.162999,160814.3242473434,81714,81714,0
BULL,2026-06-12,31.267950680941446,-4468731610.017799,4468731672.553701,189875.28795155362,79333,79333,0
BULL,2026-06-19,31.269142233674476,-4645693576.873077,4645693639.411362,152081.33537253554,79382,79382,0
BULL,2026-06-26,31.25222987682806,-4816126552.779558,4816126615.284018,186913.63651064088,78689,78689,0
