scenario,week_end_date,contrib_weekly_return,contrib_realized_volatility,contrib_macro_shock_abs,contrib_macro_neg_lag1,contrib_macro_neg_lag2,contrib_macro_neg_lag3,contrib_macro_pos_lag1,contrib_macro_pos_lag2,contrib_macro_pos_lag3,contrib_interest_rate_direction,contrib_d_geo,contrib_d_mp,contrib_d_trade,contrib_log_trading_days,contrib_intercept,contrib_arma,exog_total,forecast_log_volume
BASE,2026-05-08,-0.004472,0.019658,0.05024,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.269371,0.02345,31.292821
BASE,2026-05-15,-0.004472,0.019658,0.0,0.007937,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.028653,0.0,31.257299,-0.00553,31.251769
BASE,2026-05-22,-0.004472,0.019658,0.200961,0.0,-0.017547,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.265711,0.156623,31.422334
BASE,2026-05-29,-0.004472,0.019658,0.0,0.0,-0.0,-0.00578,0.23097,-0.0,0.0,0.0,0.0,0.0,0.0,-0.028653,0.0,31.253634,0.211723,31.465357
BASE,2026-06-05,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.021858,0.0,0.0,0.0,0.0,0.0,-0.036156,0.0,31.25232,-0.042828,31.209492
BASE,2026-06-12,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.048384,0.0,0.0,0.0,0.0,-0.041976,0.0,31.257286,0.021593,31.27888
BASE,2026-06-19,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.036156,0.0,31.265921,-0.02097,31.24495
BASE,2026-06-26,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.27902,-0.02679,31.25223
BEAR,2026-05-08,-0.004472,0.019658,0.05024,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.269371,0.02345,31.292821
BEAR,2026-05-15,-0.004472,0.019658,0.0,0.007937,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.028653,0.0,31.257299,-0.00553,31.251769
BEAR,2026-05-22,-0.004472,0.019658,0.200961,0.0,-0.017547,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.265711,0.156623,31.422334
BEAR,2026-05-29,-0.004472,0.019658,0.10048,0.031749,-0.0,-0.00578,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.028653,0.0,31.253634,0.112982,31.366616
BEAR,2026-06-05,-0.004472,0.019658,0.0,0.015874,-0.070189,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.036156,0.0,31.25232,-0.075285,31.177035
BEAR,2026-06-12,-0.004472,0.019658,0.0,0.0,-0.035095,-0.02312,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.257286,-0.085005,31.172281
BEAR,2026-06-19,-0.004472,0.019658,0.0,0.0,-0.0,-0.01156,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.036156,0.0,31.265921,-0.03253,31.23339
BEAR,2026-06-26,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.27902,-0.02679,31.25223
BULL,2026-05-08,-0.004472,0.019658,0.05024,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.269371,0.02345,31.292821
BULL,2026-05-15,-0.004472,0.019658,0.0,0.0,0.0,0.0,0.057743,-0.0,0.0,0.0,0.0,0.0,0.0,-0.028653,0.0,31.257299,0.044275,31.301574
BULL,2026-05-22,-0.004472,0.019658,0.200961,0.0,-0.0,0.0,0.0,-0.005464,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.265711,0.168706,31.434417
BULL,2026-05-29,-0.004472,0.019658,0.10048,0.0,-0.0,-0.0,0.23097,-0.0,0.012096,0.0,0.0,0.0,0.0,-0.028653,0.0,31.253634,0.330079,31.583713
BULL,2026-06-05,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.115485,-0.021858,0.0,0.0,0.0,0.0,0.0,-0.036156,0.0,31.25232,0.072657,31.324977
BULL,2026-06-12,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.010929,0.048384,0.0,0.0,0.0,0.0,-0.041976,0.0,31.257286,0.010665,31.267951
BULL,2026-06-19,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.024192,0.0,0.0,0.0,0.0,-0.036156,0.0,31.265921,0.003221,31.269142
BULL,2026-06-26,-0.004472,0.019658,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.041976,0.0,31.27902,-0.02679,31.25223
